Account name,Owner,Followers,Occupation,Country
@BarackObama,Barack Obama,132.7,44th President of the United States, United States
@justinbieber,Justin Bieber,114.1,Musician, Canada
@katyperry,Katy Perry,108.9,Musician, United States
@rihanna,Rihanna,106.9,Musician, Barbados
@elonmusk,Elon Musk,104.1,Engineer and Business magnate, United States
@Cristiano,Cristiano Ronaldo,102.9,Football player, Portugal
@taylorswift13,Taylor Swift,90.9,Musician, United States
@ladygaga,Lady Gaga,84.9,Musician and actress, United States
@narendramodi,Narendra Modi,81.9,Prime Minister of India, India
@TheEllenShow,Ellen DeGeneres,77.4,Comedian and television host, United States
@YouTube,YouTube,76.1,Online video sharing platform, United States
@KimKardashian,Kim Kardashian,73.4,Television personality, United States
@selenagomez,Selena Gomez,66.2,Musician and actress, United States
@cnnbrk,CNN Breaking News,63.8,News channel, United States
@jtimberlake,Justin Timberlake,63,Musician and actor, United States
@Twitter,Twitter,62.5,Social media platform, United States
@NASA,NASA,61.3,Space agency, United States
@BillGates,Bill Gates,60.3,Businessman and philanthropist, United States
@CNN,CNN,59.5,News channel, United States
@neymarjr,Neymar,57.7,Football player, Brazil
@britneyspears,Britney Spears,55.8,Musician, United States
@ddlovato,Demi Lovato,54.1,Musician and actress, United States
@nytimes,The New York Times,54,Newspaper, United States
@shakira,Shakira,53.2,Musician, Colombia
@KingJames,LeBron James,52,Basketball player, United States
@jimmyfallon,Jimmy Fallon,51.3,Comedian and television host, United States
@BBCBreaking,BBC Breaking News,50.8,News channel, United Kingdom
@PMOIndia,PMO India,50.2,Office of the Prime Minister of India, India
@imVkohli,Virat Kohli,49.5,Cricket player, India
@SrBachchan,Amitabh Bachchan,47.8,Actor, India
@BTS_twt,BTS,47.1,Musicians/K-pop, South Korea
@MileyCyrus,Miley Cyrus,46.8,Musician and actress, United States
@JLo,Jennifer Lopez,45.5,Musician and actress, United States
@akshaykumar,Akshay Kumar,45.1,Actor, India
@BeingSalmanKhan,Salman Khan,44.2,Actor, India
@realmadrid,Real Madrid CF,44.1,Football club, Spain
@FCBarcelona,FC Barcelona,43.4,Football club, Spain
@Oprah,Oprah Winfrey,43.3,Television personality, United States
@ChampionsLeague,UEFA Champions League,43.5,Football league, Europe
@BrunoMars,Bruno Mars,43.2,Musician, United States
@iamsrk,Shah Rukh Khan,42.6,Actor, India
@espn,ESPN,41.4,Sports channel, United States
@NiallOfficial,Niall Horan,41.2,Musician, Ireland
@bts_bighit,BTS,40.8,Musicians/K-pop, South Korea
@SportsCenter,SportsCenter,40.6,Sports channel, United States
@KylieJenner,Kylie Jenner,40.2,Television personality, United States
@Drake,Drake,39.7,Rapper, Canada
@NBA,NBA,39.2,Basketball league, United States
@Harry_Styles,Harry Styles,38.1,Musician, United Kingdom
@BBCWorld,BBC World News,37.9,News channel, United Kingdom
